question,answer,question_arm,answer_arm,generated_responses_arm_ZS,generated_responses_arm_FS,mBERT_Similarity_ZS,mBERT_Similarity_FS
who played atticus finch in the movie?,Gregory Peck played Atticus Finch in the movie.,ով է խաղացել Ատտիկուս Ֆինչի ֆիլմում:,Գրեգորի Պեկը ֆիլմում մարմնավորել է Ատտիկուս Ֆինչին։,"ով է խաղացել Ատտիկուս Ֆինչի ֆիլմում:
Հիշեցնենք, որ դերասանուած Միշա Կապուրը հայտնի է «Սիրո ու սպանո","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ով է խաղացել Ատտիկուս Ֆինչի ֆիլմում:
Answer: The character who is played by him portraying the King in the film Casino Royale.
Question : Ով կմտնի “Մեծ սարի վրա” նավարկո...
Answer: “Միջերկրական ծո",0.8529275,0.7316561
What is the main ingredient in chocolate?,Cocoa.,Ո՞րն է շոկոլադի հիմնական բաղադրիչը:,Կակաո.,"Ո՞րն է շոկոլադի հիմնական բաղադրիչը:
Շոկ... ոչ մի բան: Այն շատ համեղ է, եւ դա ինձ դուր է  գալիս մեծ մասա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է շոկոլադի հիմնական բաղադրիչը:
Answer: A շիկու, որ պատրաստվու...
Answer: a շշի, ով պահպանու է այն մթերքները, ո...
",0.54205585,0.45427436
who will david beckham play for in 2013?,David Beckham played for Paris Saint-Germain (PSG) in 2013.,ո՞ւմ համար է խաղալու Դեյվիդ Բեքհեմը 2013 թվականին.,Դևիդ Բեքհեմը 2013 թվականին հանդես է եկել ՊՍԺ-ում:,"ո՞ւմ համար է խաղալու Դեյվիդ Բեքհեմը 2013 թվականին. տեսանյութ
Այսօր կայանալիք միջազգային մրցաշարի շրջանակուրդների�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ո՞ւմ համար է խաղալու Դեյվիդ Բեքհեմը 2013 թվականին.
Answer: 2013 թ խախտու...
Հայերենից թարբեր բառեր
Համացանցու
Հատված հայելային պատ�",0.7947334,0.68737924
In which country would you find the Eiffel Tower?,France.,Ո՞ր երկրում կգտնեք Էյֆելյան աշտարակը:,Ֆրանսիա.,"Ո՞ր երկրում կգտնեք Էյֆելյան աշտարակը:
Այս հոդվածու...
Ամենահին հայկական գեր-գեղեցկու-թյանը նվիրված մի","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր երկրում կգտնեք Էյֆելյան աշտարակը:
Answer: «Էյդենյան» աշխարհու...
Հայեր ջան, մի բան հարցնեմ, եթե հայելային տաք�",0.6073867,0.55242413
What is the square root of 100?,The square root of 100 is 10.,Որքա՞ն է 100-ի քառակուսի արմատը:,100-ի քառակուսի արմատը 10 է։,"Որքա՞ն է 100-ի քառակուսի արմատը:
Հեղուած է «https://hyw.wikipedia.org/w/index.php?title=Հայերէնի_Ուղղագրիչ&oldid=136840» էջէն
Last edited on 16 Սեպտ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Որքա՞ն է 100-ի քառակուսի արմատը:
Answer: 100-ը կազմուած է առանձին թվերից։
Questions: Ի՞նչ է արքայական զուարճանքը։
Answer: 1.",0.6470759,0.65707386
What is the highest mountain in North America?,The highest mountain in North America is Mount Denali.,Ո՞րն է Հյուսիսային Ամերիկայի ամենաբարձր լեռը:,Հյուսիսային Ամերիկայի ամենաբարձր լեռը Դենալի լեռն է։,"Ո՞րն է Հյուսիսային Ամերիկայի ամենաբարձր լեռը:
Ամազոնի լիճը գտնվու...
Այս հոդվածու�...
Արդյո՞ք հնարավոր է օգ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Հյուսիսային Ամերիկայի ամենաբարձր լեռը:
Answer: The 1706 մեա լուրջանու լիճը Հիմալայան լճի վրա է: Այն գտնվու...
Հայտնաբեր",0.8008525,0.7451314
What is the chemical symbol for potassium?,K,Ո՞րն է կալիումի քիմիական նշանը:,Կ,"Ո՞րն է կալիումի քիմիական նշանը:
Քիմ. Քի-միկատները կազմված են կապարից, կադմից և մետաղից: Նրանք կա","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է կալիումի քիմիական նշանը:
Answer: 99, 99%:
Պատասխան՝ կանադացին պատասախանեց հարցերին։<|endoftext|>",0.49088633,0.3855986
Who invented the telephone?,Alexander Graham Bell.,Ո՞վ է հորինել հեռախոսը:,Ալեքսանդր Գրեհեմ Բել.,"Ո՞վ է հորինել հեռախոսը: Ինչո՞ւ է այն հիմա հայտնվել «Արմենիա» հյուրանոցում: Ի վերջո, �","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է հորինել հեռախոսը:
Answer: A Soviet cellphone had a proprietary software chip.
Question : Ովքե՞ր են «Անտարես» հրատարակչու­թյան սեփականատերեր մե�",0.6129725,0.54110116
who has britney spears married?,Britney Spears has been married twice. Her first husband was Jason Allen Alexander and her second husband was Kevin Federline.,ով է ամուսնացել Բրիթնի Սփիրսը,"Բրիթնի Սփիրսը երկու անգամ ամուսնացած է եղել. Նրա առաջին ամուսինը Ջեյսոն Ալեն Ալեքսանդրն էր, իսկ երկրորդը՝ Քևին Ֆեդերլինը։","ով է ամուսնացել Բրիթնի Սփիրսը, որը հայտնի «Միսս Տիեզերք» մրցու­յթի հաղթող էր։ Այս մասին հա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ով է ամուսնացել Բրիթնի Սփիրսը
Answer: - Ամոր ծննդյան օրը նա ծեծեց իր կնոջը՝ Բևերլի Հիլզին, որքան ",0.9048815,0.7771683
What is the capital city of South Africa?,Pretoria.,Ո՞րն է Հարավային Աֆրիկայի մայրաքաղաքը:,Պրետորիա.,"Ո՞րն է Հարավային Աֆրիկայի մայրաքաղաքը:
Հաքսը համոզված է, որ դա Մեքսանյան թերակղզու մասն են կազմում: Նա �","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Հարավային Աֆրիկայի մայրաքաղաքը:
Answer: ANR = 1,105274
Պատասխան՝ Հաարեցիր հարցը
1. Աքվիտուալ համակարծիքու- թյո՞ւն",0.6315962,0.5295134
In what year did World War II end?,World War II ended in 1945.,Ո՞ր թվականին ավարտվեց Երկրորդ համաշխարհային պատերազմը:,1945 թվականին։,"Ո՞ր թվականին ավարտվեց Երկրորդ համաշխարհային պատերազմը: Ի՞նչ է սպասվում մեզ ապագայու...
Այսօր Հայաստանի Հանրապետու­թյան հռ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր թվականին ավարտվեց Երկրորդ համաշխարհային պատերազմը:
Answer: 1932 վիպակի գլխավոր հղուրը Մարկ Տվե Ռուան Քին։ Քննարման հատվածը կա",0.5977495,0.45395857
What is the national bird of the United States?,The national bird of the United States is the bald eagle.,Ո՞րն է Միացյալ Նահանգների ազգային թռչունը:,Միացյալ Նահանգների ազգային թռչունը ճաղատ արծիվն է։,"Ո՞րն է Միացյալ Նահանգների ազգային թռչունը:
Այս հարցին, թե ինչպես է այն վերաբերւու...
Ամեր...
Արդյո՞ք մենք","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Միացյալ Նահանգների ազգային թռչունը:
Answer: The state bird is Congressional Goldfinch. Congressional does not have statehood; it has aviation rights.
Question 4: Ի՞նչ է անվանուած միջատը:
answer: Մետաղադրամ Մոնթեն
answer",0.8228991,0.76649463
What is the national animal of Canada?,Beaver.,Ո՞րն է Կանադայի ազգային կենդանին:,Beaver.,"Ո՞րն է Կանադայի ազգային կենդանին:
Հետաքրքիր է, որ կանադացիները հաճախ են հանդիպում կամ համտեսու...
Կ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Կանադայի ազգային կենդանին:
Answer: Canada is the state that is custody of the National Park System.
Պատասխան՝ Համաշխարհայի
Հարց՝ Ովքե՞ր են «Հայկական հող» հսկա ",0.50304747,0.38463
Who wrote the play Macbeth?,William Shakespeare.,Ո՞վ է գրել «Մակբեթ» պիեսը:,Ուիլյամ Շեքսպիր.,"Ո՞վ է գրել «Մակբեթ» պիեսը:
- Գրեցի «Մահվան տեսարաններ» պատմվածքը: Այն ինձ համար դարձավ իմ սե�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է գրել «Մակբեթ» պիեսը:
Answer: «Մահվան ամրող» պարսկերեր պոեմը գևոր է և անմեր-սիրո-հուր-մու-մ",0.6868378,0.5787503
where does t boone pickens live?,"T. Boone Pickens passed away on September 11, 2019.",որտեղ է ապրում t boone pickens-ը:,Թ. Բուն Փիքենսը մահացել է 2019 թվականի սեպտեմբերի 11-ին։,"որտեղ է ապրում t boone pickens-ը: Այստե...
Այցելեք ՝ https://t.co/9kffwTz9aZ
#Boone #POXa https://t @picallya @pically @POXa @Boone @POXA
Ամեն օր մի","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: որտեղ է ապրում t boone pickens-ը:
Answer: The town is located in Wayne County, Wayne County, and is home to Wayne County Fairgrounds, Wayne Municipal Airport and many other Wayne County landmarks.
Question 1: Որտև՞ է արտադրվու Ջեյմս Ջիլին գրքի �",0.6335275,0.69446194
What is the largest waterfall in the world by volume of water?,Angel Falls.,Ո՞րն է ջրի ծավալով աշխարհի ամենամեծ ջրվեժը:,Angel Falls.,"Ո՞րն է ջրի ծավալով աշխարհի ամենամեծ ջրվեժը:
Ջրի 10 տոկոսը ծածկված է անտառներով, իսկ 4 տեղը՝ ջքեր ու ձորեր: �","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է ջրի ծավալով աշխարհի ամենամեծ ջրվեժը:
Answer: The largest lake in the world is Lake Baikal in Russia. It is 5.375mi long, it is the third-largest Lake in the world. There are 5165km² of land available for tourism and there are 1641km² of land for development. There are also 172km² of land...
Հայտնին հայտարարել է, �",0.45594072,0.3944437
what clubs has peter crouch played for?,"Peter Crouch has played for several clubs, including Tottenham Hotspurs, Liverpool, Portsmouth, and Stoke City.",ո՞ր ակումբներում է խաղացել Փիթեր Քրաուչը:,"Պիտեր Քրաուչը խաղացել է մի քանի ակումբներում, այդ թվում՝ «Տոտենհեմ Հոթսպուրսում», «Լիվերպուլում», «Պորտսմութում» և «Սթոք Սիթիում»:","ո՞ր ակումբներում է խաղացել Փիթեր Քրաուչը:
-Այո, ես խառը մրցաշրջան անցկացրելեմ «Մանչեսթե Յուրմանի» կազմու �","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ո՞ր ակումբներում է խաղացել Փիթեր Քրաուչը:
Answer: «Փիքսթոնու» խանոքի կազմուրոմոմ Քևին Քոլին «Փոքրիկ իշխան» է �",0.90635526,0.80146945
what to see in staten island new york?,"Some popular attractions to see in Staten Island, New York include the Staten Island Ferry, Snug Harbor Cultural Center & Botanical Garden, Staten Island Zoo, and the Staten Island Museum.",ի՞նչ տեսնել Նյու Յորք նահանգի պետական ​​կղզում:,"Նյու Յորքի Սթեյթեն Այլենդի որոշ հայտնի տեսարժան վայրերը ներառում են Սթեյթեն Այլենդ լաստանավը, Սնուգ Հարբոր մշակութային կենտրոնը և բուսաբանական այգին, Սթեյթն Այլենդ կենդանաբանական այգին և Սթեյթեն Այլենդ թանգարանը:","ի՞նչ տեսնել Նյու Յորք նահանգի պետական ​​կղզում:
Այս տարի մենք կղարականով նշեցինք, որ միջոցառոււմը կտեւի եր","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ի՞նչ տեսնել Նյու Յորք նահանգի պետական ​​կղզում:
Answer: The New York Times թերթի խմբագիր Ջերալդ Քուքին հանդիպեց Նոր Զեի կղրիդներ �",0.7537533,0.8465931
Which country is the largest producer of coffee?,Brazil.,Ո՞ր երկիրն է սուրճի ամենամեծ արտադրողը:,Բրազիլիա.,"Ո՞ր երկիրն է սուրճի ամենամեծ արտադրողը:
Սուպեր սպա-պրոցեդուարներ
Սպա-ապրանքանիշի հիմնադիր Մարկ Մորի","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր երկիրն է սուրճի ամենամեծ արտադրողը:
Answer: The most important national product is the kohlrabi.
Question? Ովքե՞ր, ինքներ կամ իրականու...
Answer: National characteristics are matter.
Question from a friend: Ինչպե՞ս ենք",0.64101034,0.62166464
How many bones are there in the human body?,There are 206 bones in the human body.,Քանի՞ ոսկոր կա մարդու մարմնում:,Մարդու մարմնում կա 206 ոսկոր։,"Քանի՞ ոսկոր կա մարդու մարմնում:
Ոսկրերի մեծ մասը կազմուած են կոնքի հատակից, որոնողական համակարգ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Քանի՞ ոսկոր կա մարդու մարմնում:
Answer: 1, 2, 3 ոչ ոք։
Հայերենից թարս խոսակցու...
Համաշխարհային պատմուածքի ժամ",0.785201,0.6398363
"Who wrote the novel ""Pride and Prejudice""?",Jane Austen.,Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:,Ջեյն Օսթին.,"Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:
- Հպատակների մեջ կան մարդիկ, որոնք հպացող են, հետաքրքրասեր, հա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:
Answer: «Հեղափոխու­թյան» վավերագրական ֆիլմը։
Questions: Ի՞նչ է այս վիդեոն նկարահ",0.6054336,0.55305797
what country was jesus born?,"Jesus was born in Bethlehem, in modern-day Israel.",ո՞ր երկրում է ծնվել Հիսուսը,Հիսուսը ծնվել է Բեթղեհեմում՝ ժամանակակից Իսրայելում։,"ո՞ր երկրում է ծնվել Հիսուսը:
Հովհաննես առաքյալը գրողի ծոցն է առաջացնու իր ժող. կրօնի մեջ: ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ո՞ր երկրում է ծնվել Հիսուսը
Answer: «Հիասքանչ Հոր մոտ» կենսագրական վիպակուց։
Questions with multiple choice'՝ 1, 2, 3, 4
1. Ի՞նչ անել, �",0.7801884,0.72881305
What is the longest river in Africa?,The longest river in Africa is the Nile River.,Ո՞րն է Աֆրիկայի ամենաերկար գետը:,Աֆրիկայի ամենաերկար գետը Նեղոս գետն է։,"Ո՞րն է Աֆրիկայի ամենաերկար գետը:
Աֆղանստանի հյուսիսու...
Այսօր մեզ համար ամուր պատմորեն պարզ դա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Աֆրիկայի ամենաերկար գետը:
Answer: The Amazon is the longest of all the water supply systems in the world.
Question : Ովքե՞ր են «Ազատ Ձայն»-ի թիմի անդամները:
answer: Ազգային ժ",0.8186015,0.70948625
What is the capital city of Brazil?,Brasília.,Ո՞րն է Բրազիլիայի մայրաքաղաքը:,Բրազիլիա.,"Ո՞րն է Բրազիլիայի մայրաքաղաքը:
Բրիտանական մամուլը գրու...
Անգլիացի հեծանվորդը հաղթահարել է ծով�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է Բրազիլիայի մայրաքաղաքը:
Answer: Pրազրիկը Բևեռլի Հիլարի Քլինքի պատկերով քաղցրավենիք որքան ոք ",0.69879085,0.62166476
